COMPANY;MES;ANO;DATA_PARCELA_1;PARCELA1;DATA_PARCELA_2;PARCELA_2;DATA_PARCELA_3;PARCELA_3
ef808b6ad3c2e31fdf3da46626f836bb043edc47fa8ee44b9787af75103a1638;4;2021;15/05/21;0;25/05/21;736016,76;05/06/21;0
2cad427f444c0a78b7528ce4b19d2785717093455a5f7c06a3bb25335a05133a;4;2021;15/05/21;0;25/05/21;0;05/06/21;0
88d31b93730ed52eb740e5007487a2e9ca48f071d0071eaefaf42e123cb932db;4;2021;15/05/21;0;25/05/21;162732,5775;05/06/21;0
a88f77fbb1b9bc0c9f4c8a2d650e240c818fba02c7cf37151af6b594c7b519a3;4;2021;15/05/21;0;25/05/21;1300852,6725;05/06/21;0
50bdd24c92af81413731444c4985ace3032a2b4b34b389cb4c0d9fbd8deecb84;4;2021;15/05/21;0;25/05/21;20573,5725;05/06/21;0
bac2ea73eff76151887853ea0513bcceba99078c5efc7e96d31ae9a3880dd2ed;4;2021;15/05/21;0;25/05/21;0;05/06/21;0
e22636de493f4bab61f6d1d3aa1ca9a4ec546165c7b31a54235bb83bd0ef29c6;4;2021;15/05/21;0;25/05/21;77928,3;05/06/21;0
c36ca8cef2aaa896eda0383a1a1af7df8b084b24e56c1e8c5c386d356ff3689d;4;2021;15/05/21;0;25/05/21;31013,0475;05/06/21;0
0ab6396c04f71b461d43bb48b3a7cacffcc09252aacb1bd519cd1f2ba5ba6cbe;4;2021;15/05/21;0;25/05/21;363659,7375;05/06/21;0
adff7f33d1a24b2bf8eb59749dbc1281ab9277476f508a8edfc360599f83b9e5;4;2021;15/05/21;0;25/05/21;9761,07;05/06/21;0
bac2ea73eff76151887853ea0513bcceba99078c5efc7e96d31ae9a3880dd2ed;4;2021;15/05/21;0;25/05/21;0;05/06/21;0
2cad427f444c0a78b7528ce4b19d2785717093455a5f7c06a3bb25335a05133a;12;2022;15/01/23;0;25/01/23;7785,8775;05/02/23;0
74ddb4d74ce7a0f1e9cf1e5ccb980c3c972d7c615be0ec1ad220345b3be4c623;12;2022;15/01/23;0;25/01/23;131456,61;05/02/23;0
719be77d544c78248ed775aa5d8bb1151a6183ff35015d5a123deb4e849dc5c7;12;2022;15/01/23;0;25/01/23;17803,8375;05/02/23;0
7b7ac860e214a4635068ef1295f6527abf15adbd9e1dcfd607e3b2c5b9d10d09;12;2022;15/01/23;0;25/01/23;32756,97;05/02/23;0
955ea904d2c0dce593d3b5bff11ff99fc9dd25d69aee1b234c31acb060c7a299;12;2022;15/01/23;0;25/01/23;10773,645;05/02/23;0
2cad427f444c0a78b7528ce4b19d2785717093455a5f7c06a3bb25335a05133a;12;2022;15/01/23;0;25/01/23;15678,99;05/02/23;0
7fc28d40972b137fc1755fe0b9b1bc737fab0c1c142d1e31bfd6d46af3a2457d;12;2022;15/01/23;36357,8325;25/01/23;36357,8325;05/02/23;36357,84
13e8029d70913f8483aa06a67dc0a7c8bc8f0810938e8c2fe459f8b78a537d7f;12;2022;15/01/23;0;25/01/23;3874,8975;05/02/23;0
bac2ea73eff76151887853ea0513bcceba99078c5efc7e96d31ae9a3880dd2ed;12;2022;15/01/23;0;25/01/23;722,2125;05/02/23;0
4f3127408ba23b9ad93d27baa364e51c116045a811ac96d75769dcd8f6b8d8c6;12;2022;15/01/23;0;25/01/23;312353,34;05/02/23;0
8b86422acbc2b2fcf213c99e6c19298607a368a98e8c4eccae4037b50255c103;12;2022;15/01/23;0;25/01/23;8519,205;05/02/23;0
0ab6396c04f71b461d43bb48b3a7cacffcc09252aacb1bd519cd1f2ba5ba6cbe;12;2022;15/01/23;0;25/01/23;11077,8525;05/02/23;0
c79c53924117ec71ea389ce1de03f00495a5a67d45ed5ac5fc67744827464f1b;12;2022;15/01/23;0;25/01/23;37830,585;05/02/23;0
f9cfe62241b0a57a1a97429fd7b5239a51a504eee98af5cb145aeb6fabe446d9;12;2022;15/01/23;25348,8825;25/01/23;25348,8825;05/02/23;25348,875
